name|contaminant_Gaia_DR3_id|angDist|Gmag
TIC 136721616|2164331430321440896|8.929408|19.525887
TIC 136721616|2164331434621333760|9.323242|20.559116
TIC 276105596|2202731225388129024|1.667054|12.789534
TIC 276105596|2202731225377480064|1.922429|12.767019
TIC 276105596|2202731225377479168|1.960636|19.797596
TIC 276105596|2202731221079809536|9.844275|19.08156
TIC 233745075|2256568606071163264|2.440129|9.536387
TIC 120563501|2308360585899679744|6.642069|10.383263
TIC 327953001|2419161087050311680|0.877026|11.686377
TIC 167440156|2464581328276877056|7.022951|11.9189
TIC 369554249|2512223132749489408|6.33009|13.16481
TIC 369554249|2512223132749036160|8.125647|20.627516
TIC 398571889|2535718905961089280|4.242426|12.822089
TIC 398571889|2535718901668737536|4.290158|12.751742
TIC 257247784|2546970620765857536|3.092629|12.895884
TIC 257247784|2546970620766135552|3.78623|12.85606
TIC 365074976|2579116591253816832|7.277559|12.365184
TIC 365074976|2579116595549332864|7.571404|12.818739
TIC 36692896|2609889349030557696|3.987327|9.261073
TIC 36692896|2609889349029938304|5.149912|12.1303
TIC 50221786|2619074497370175360|5.369127|12.293344
TIC 4610435|2630155616073070592|6.21443|9.473365
TIC 310979661|2663468481932872448|4.864281|12.683759
TIC 310979661|2663468481932088576|5.121528|12.671221
TIC 402934167|2665937297854225024|7.23656|11.863351
TIC 402934167|2665937297853225216|7.445424|11.856778
TIC 388983974|2697021694162378880|2.679759|11.323653
TIC 318705111|2717948763402973696|4.916819|20.051115
TIC 471012325|2805045756652783104|4.636513|12.146873
TIC 471012325|2805045756653326080|5.381006|11.240654
TIC 425652947|2825264538539217408|3.989458|10.551649
TIC 425652947|2825264534243467904|9.873905|17.43055
TIC 288144878|2871730758921709952|3.555128|10.610644
TIC 48523939|2926756741750933120|3.006991|12.022031
TIC 48523939|2926756814770728064|3.142103|12.266764
TIC 48523939|2926756746045867648|4.449426|20.573219
TIC 48523939|2926756746051252224|7.402142|17.422375
TIC 265168621|3092385047351284992|1.325993|13.405519
TIC 265168621|3092385043055229952|1.577173|13.442959
TIC 247469525|3347849461600318336|5.523157|20.584885
TIC 247469525|3347849461600235776|8.918304|20.650583
TIC 117008676|3444406511166874112|3.888236|12.677583
